
"Application Setup","","","","",""
"Recipe Interaction","","","","",""
"Accessibility","","","","",""
"Accessory Features","","","","",""
"Design","","","","",""
"Set Up Account/Onboarding","","","","",""
"Change Settings","","","","",""
"CRUD Recipe Features","","","","",""
"Search Recipes","","","","",""
"Viewing Recipes","","","","",""
"Manual Recipe Creation","","","","",""
"Scan/Upload Recipe","","","","",""
"Clone Existing Recipe","","","","",""
"When Following a Recipe","","","","",""
"Formatting elements of the website","","","","",""
"Shopping List","","","","",""
"Random Recipe Suggestion","","","","",""
"Friend/Social System","","","","",""
"Meal Planner/Calendar","","","","",""
"Timer","","","","",""
"App Names","","","","",""
"Create Recipes","","","Essential","",""
"General search bar","","","High Priority","",""
"List/big pictures view","","","Essential","",""
"Title","","","Essential","",""
"Tap for the next step","","","High Priority","",""
"Recipes R Us","","","","",""
"Impasta Rosta'","","","","",""
"Read Recipes","","","Essential","",""
"Filter by tags","","","High Priority","",""
"Swap between open recipes","","","Essential","",""
"Recipe photo","","","High Priority","",""
"Chef-It-Up","","","","",""
"Update Recipes","","","Essential","",""
"Add tags","","","High Priority","",""
"Pauseta","","","","",""
"SavorE","","","","",""
"Delete Recipes","","","Essential","",""
"Short description","","","Essential","",""
"Thime","","","","",""
"How many servings this recipe makes","","","Essential","",""
"Prep/cook time","","","Essential","",""
"Ingredients list","","","Essential","",""
"Directions: you can put instructions for each step and the time for each step","","","Essential","",""
"Name","","","","",""
"Light/dark theme","","","","",""
"Filter by rating","","","","",""
"Unit converter","","","","",""
"Input nutritional info","","","","",""
"API for extracting recipe details from websites","","","","",""
"Clone existing recipe and modify fields to create a new recipe","","","","",""
"Text-To-Speech (hands off)","","","","",""
"Left/right/top/bottom navbar","","","","",""
"Manually input ingredient, amount, note","","","","",""
"Can suggest any random recipe to make","","","","",""
"User review system","","","","",""
"Timer API","","","","",""
"Height","","","","",""
"Edit personal info","","","","",""
"Filter by breakfast, lunch, dinner","","","","",""
"Change serving size of recipes","","","","",""
"Cooking tools list","","","","",""
"Time-Based Scrolling","","","","",""
"Share recipes (just send file or link to app)","","","","",""
"Import/export option, different export formats","","","","",""
"Populate shopping items based on recipe ingredients","","","","",""
"Can narrow down suggestion by tags","","","","",""
"Weight","","","","",""
"Font size","","","","",""
"Filter by cuisine","","","","",""
"Smart rounding of measurements","","","","",""
"Notes","","","","",""
"Timer based on the dish","","","","",""
"Upload pictures and comment after you try a recipe","","","","",""
"Shareable recipe links","","","","",""
"Ingredients are categorized into aisles (dairy, produce, etc)","","","","",""
"Calorie goals","","","","",""
"Language","","","","",""
"Filter by occasion (birthday, party, Thanksgiving, etc.)","","","","",""
"Rate recipes out of 5 stars","","","","",""
"Link other recipes that go well with this one","","","","",""
"Cross off ingredients that you already have","","","","",""
"Remove selected items or clear entire shopping list","","","","",""
"Change color theme","","","","",""
"Recently viewed recipes","","","","",""
"Filter by ingredients","","","","",""
"Rate difficulty out of 5","","","","",""
"Track the current step of the recipe","","","","",""
"Can mark recipes as ""Favorite"" or ""Make later""","","","","",""
"Saved/favorited shopping lists","","","","",""
"Filter by calorie thresholds","","","","",""
"Filter by difficulty","","","","",""
"Can edit or delete saved recipes","","","","",""
"Filter by prep/cooking time","","","","",""
"Filter by cooking tool","","","","",""
"User recommendations","","","","",""
"""Favorite"" and ""Make Later"" tags","","","","",""
